Value,Key
[新] 断开网格十字路口/交点,[NEW] Disconnect mesh intersections
[新] 执行,[NEW] Execute
[新] 挤出网格选择,[NEW] Extrude mesh selection
[新] 获取曲线,[NEW] Get curve
[新] 获取网格,[NEW] Get mesh
[新] 获取物体,[NEW] Get object
[新] 组网格 (不是合并!),[NEW] Group meshes (NOT a merge!)
[新] 插入网格选择,[NEW] Inset mesh selection
[新] 网格边到贝塞尔曲线,[NEW] Mesh edges to bezier curves
[新] 网格对象操作:反转选择,[NEW] Mesh object op: invert selection
[新] 网格到2D几何集,[NEW] Meshes to 2D Geometries sets
[新] 重命名2D几何图形集,[NEW] Rename 2D Geometries sets
[新] 选择网格部分,[NEW] Select mesh parts
[新] 简化2D几何图形集,[NEW] Simplify 2D Geometries sets
[新] 标准网格选择展开,[NEW] Standard mesh selection unwrap
[新] UV展开选定四边形带,[NEW] UV unwrap selected quad strips
[新建],[New]
[无集合],[No Collection]
[无对象],[No Object]
[节点组名或bl_idname],[Node Group Name or bl_idname]
[无],[None]
[关闭],[OFF]
[打开],[ON]
[OSL编译节点],[OSL COMPILE NODE]
[仅当选定节点是组时才需要],[Only required if the selected node is a group]
[预览模式]不重新生成和刷新已缓存的网格（重构网格除外）,[PREVIEW MODE] Do not regenerate & upload meshes(except reshapble ones) which are already cached
[右键] 取消,[RMB] Cancel
[R] 到渲染 {self.to_render},[R] To_Render {self.to_render}
[最近使用笔刷],[Recent Brushes]
[源],[SOURCE]
[S]智能应用,[S]mart Apply
[缩放形状(S键)],[Scale shape (S key)]
[选择模式],[Selection Mode]
[Shift] - 启用精度,[Shift] - Precision active
[禁用捕捉],[Snap disabled]
[禁用捕捉],[Snapping disabled]
[球体],[Sphere]
[T] 到灯光 {self.to_light},[T] To_Light {self.to_light}
[Tab] - 显示混合姿态,[Tab] - Show blended pose
[Tab] - 显示原始姿态,[Tab] - Show original pose
[文本对象名称],[Text Object Name]
[树干]..,[Trunked]..
[Trunked]..{input_path[len(input_path)-max_len:]},[Trunked]..{input_path[len(input_path)-max_len:]}
[使用基础网格],[Using Base Mesh]
[V] 到视图 {self.exit_to_viewport_adjust},[V] To_Viewport {self.exit_to_viewport_adjust}
"[警告] 骨架 ""%s"" 没有动画数据","[WARNING] armature ""%s"" has no animation data"
"[警告] 相机 ""%s"" 不是MMD相机","[WARNING] camera ""%s"" is not MMDCamera"
"[警告] 灯光 ""%s"" 不是MMD灯光","[WARNING] lamp ""%s"" is not MMDLamp"
"[警告] 网格 ""%s"" 没有动画数据","[WARNING] mesh ""%s"" has no animation data"
"[警告] 网格 ""%s"" 没有形态键","[WARNING] mesh ""%s"" has no shape keys"
[W] Eevee 高质量,[W] Eevee HQ
[W] Eevee 低质量,[W] Eevee LQ
[W] 常规,[W] General
仅 [X]/Y/Z 轴 (X 清除),[X]/Y/Z axis only (X to clear)
[^ _0-9a-ZA-Z] +,[^_0-9a-zA-Z]+
[appleseed] 错误: 注册类失败 {0}: {1},[appleseed] ERROR: Failed to register class {0}: {1}
[appleseed] 错误: 取消注册类失败 {0}: {1},[appleseed] ERROR: Failed to unregister class {0}: {1}
[appleseed] OSL分析完成.,[appleseed] OSL parsing complete.
[appleseed] 解析OSL着色器...,[appleseed] Parsing OSL shaders...
[appleseed] appleseed.dll的路径设置为: {0},[appleseed] Path to appleseed.dll is set to: {0}
[appleseed] Python路径设置为: {0},[appleseed] Python path set to: {0}
[appleseed] 注册类 {0}...,[appleseed] Registering class {0}...
[appleseed] 搜索 {0} 对于OSO文件...,[appleseed] Searching {0} for OSO files...
[appleseed] 取消注册类 {0}...,[appleseed] Unregistering class {0}...
[shift + {mouse_side}] 添加一个钉固,[shift + {mouse_side}] to add a pin
[x] 是活动插槽,[x] is active slot
[{changed_node.name}] - 生成并运行要更新的节点,[{changed_node.name}] - Build and run nodes to update
[{name}] 基础节点.写入(),[{name}] BaseNode.Write()
[{script_path}] 并不存在,[{script_path}] does not exist
"[{self.name}] - insert_link() 从 {link.from_node.name} 到 {link.to_node.name}
生成列表","[{self.name}] - insert_link() from {link.from_node.name} to {link.to_node.name}
Build list"
[{self.name}] - 接口_值_更新(),[{self.name}] - socket_value_update()
[{self.name}] 更新() - run - EXECUTE_QUEUE,[{self.name}] Update() - run - EXECUTE_QUEUE
"[{}] {} 边:
{}","[{}] {} Edges:
{}"
[{}] {} 左:{} - 右:{} ,[{}] {} LEFT:{} - RIGHT:{} 
"[{}] {}:
节点:
{}
边:
{}
定向边:
{}","[{}] {}:
Nodes:
{}
Edges:
{}
DirecedEdges:
{}"
"[{}]: ""{}"" ({})","[{}]: ""{}"" ({})"
[{}]:\,[{}]: \
\\,\\
\n    对于我在范围内 for i in range(,\n    for i in range(
\n    返回骨骼 return bones,\n    return bones
\n  插入时形状的颜色,\n  Color of the shape when insetting
\n  相交时形状的颜色,\n  Color of the shape when intersecting
\n 合并时形状的颜色,\n  Color of the shape when joining
\n  制作时形状的颜色,\n  Color of the shape when making
\n  切片时形状的颜色,\n  Color of the shape when slicing
\n  注意:禁用重复形状(编辑模式),\n  Note: Disables repeat shape (edit mode)
\n 3D视图键位映射,\n 3D View Keymap
\n 3D视图工具: 游标键位映射,\n 3D View Tool: Cursor Keymap
\n 活动元素,\n Active Element
\n 添加UV到切割机,\n Add UV to cutters
\n 如果目标被缩放，则对其应用缩放,\n Apply scale on the target if it is scaled
\n 在切片对象上应用切片切割,\n Apply slice cuts on the slice objects
\n 切割时自动平滑几何图形,\n Auto smooth geometry when cutting into it
\n 自动确定正视图投影切割,\n Automatically enter orthographic for view project cuts
\n 边界框中心,\n Bounding Box Center
\n 更改网格以匹配形状模式,\n Change the grid to match the shape mode
\n 选择应用在形状上的修改器,\n Choose what modifiers are applied on the shape
\n 捕捉点颜色,\n Color of snapping points
\n 网格颜色,\n Color of the grid
\n 在网格对象后面时形状的颜色,\n Color of the shape when behind a mesh object
\n 切割时形状的颜色,\n Color of the shape when cutting
\n 提取时形状的颜色,\n Color of the shape when extracting
\n 使用刀具时的形状颜色,\n Color of the shape when using knife
\n 形状绑定区域的颜色,\n Color of the shapes bound region
\n Ctrl - HopsCutter讨论社区\n\nShift - Box文档,\n Ctrl - HopsCutter Discord Community\n\nShift - Box Docs
\n 完成后显示形状对象,\n Display the shape object when finished
\n 在目标上显示线,\n Display wires on target
\n 先绘制一条方向线,\n Draw a orientation line first
\n 离任何顶点最远的边,\n Edge farthest from any vertex
\n 确保在创建任何布尔修改器之后放置阵列修改器,\n Ensure array modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置倒角修改器,\n Ensure bevel modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置精简修改器,\n Ensure decimate modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置镜像修改器,\n Ensure mirror modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置重构网格修改器,\n Ensure remesh modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置简易变形修改器,\n Ensure simple deform modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置实体化修改器,\n Ensure solidify modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置表面细分修改器,\n Ensure subsurf modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置三角化修改器,\n Ensure triangulate modifiers are placed after any boolean modifiers created
\n 确保将uv项目修改器放在任何创建的布尔修改器之后,\n Ensure uv project modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置加权法向修改器,\n Ensure weighted normal modifiers are placed after any boolean modifiers created
\n 确保在创建任何布尔修改器之后放置焊接修改器,\n Ensure weld modifiers are placed after any boolean modifiers created
\n 在连接操作期间，在z轴上翻转适合自定义形状的形状,\n Flip the shape fitted for custom shape on the z axis during a join operation
\n 隐藏变换Gizmo,\n Hide Transform Gizmo
\n 在切割时隐藏之前制作的未选择刀具,\n Hide previously made unselected cutters on cut
\n 排序时忽略使用顶点倒角方法的倒角修改器,\n Ignore bevel modifiers that are using the only vertices option while sorting
\n 排序时忽略使用顶点组限制方法的倒角修改器,\n Ignore bevel modifiers that are using the vertex group limit method while sorting
"\n 图像编辑工具: Uv, 游标键位映射","\n Image Editor Tool: Uv, Cursor  Keymap"
\n 图像键位映射,\n Image Keymap
\n 初始化居中,\n Initial Centered
\n 保持形状阵列修改器,\n Keep shape array modifier
\n 保持形状倒角修改器,\n Keep shape bevel modifiers
\n 保持形状晶格修改器,\n Keep shape lattice modifier
\n 保持形状镜像修改器,\n Keep shape mirror modifier
\n 保持形状实体化修改器,\n Keep shape solidify modifier
\n 保持形状旋转修改器,\n Keep shape spin modifier
\n 保持形状焊接修改器,\n Keep shape weld modifier
\n 保持锥形量不变,\n Keep taper amount persistent
\n 局部,\n Local
\n 断开连接的最长边,\n Longest Disconnected Edges
\n 最长边,\n Longest Edge
\n 按住shift键使形状保持活动状态,\n Make the shape active when holding shift to keep it
\n 使用hardOps助手指定的标记标记边界 ,\n Marks boundary using hardOps helper specified markings 
\n 网格键位映射,\n Mesh Keymap
\n 模态快捷方式: D,\n Modal Shortcut: D
\n 模态快捷方式: E,\n Modal Shortcut: E
\n 模态快捷方式: O,\n Modal Shortcut: O
\n 模态快捷方式: TAN,\n Modal Shortcut: TAB
\n 将会应用修改器,\n Modifiers will be applied
\n 将会保留修改器,\n Modifiers will not be applied
\n 最远的顶点,\n Most Distant Vertices
\n 鼠标位置,\n Mouse Position
\n 最近边,\n Nearest Edge
\n 对象模式键位映射,\n Object Mode Keymap
\n 对象非模态键位映射,\n Object Non-modal Keymap
\n 排序时只影响最后一个阵列修改器,\n Only effect the most recent array modifier when sorting
\n 排序时只影响最后一个倒角修改器,\n Only effect the most recent bevel modifier when sorting
\n排序时只影响最后一个精简修改器,\n Only effect the most recent decimate modifier when sorting
\n 排序时只影响最后一个镜像修改器,\n Only effect the most recent mirror modifier when sorting
\n 排序时只影响最后一个重构网格修改器,\n Only effect the most recent remesh modifier when sorting
\n 排序时只影响最后一个简易变形修改器,\n Only effect the most recent simple deform modifier when sorting
\n 排序时只影响最后一个实体化修改器,\n Only effect the most recent solidify modifier when sorting
\n 排序时只影响最后一个表面细分修改器,\n Only effect the most recent subsurface modifier when sorting
\n 排序时只影响最后一个三角化修改器,\n Only effect the most recent triangulate modifier when sorting
\n 排序时仅影响最近的uv项目修改器,\n Only effect the most recent uv project modifier when sorting
\n 排序时只影响最后一个加权法向修改器,\n Only effect the most recent weighted normal modifier when sorting
\n 排序时只影响最后一个焊接修改器,\n Only effect the most recent weld modifier when sorting
\n 大纲键位映射,\n Outliner Keymap
\n 刀具父级到目标,\n Parent cutters to the target
\n 重复上次创建的形状,\n Repeat the last shape created
\n 屏幕编辑键位映射,\n Screen Editing Keymap
\n 屏幕键位映射,\n Screen Keymap
\n 排序修改器顺序,\n Sort modifier order
\n 预先存在布尔的条带切片对象,\n Strip slice objects of previousely existing booleans
\n UV编辑键位映射,\n UV Editor Keymap
\n 在绘制和选择尺寸时使用DPI系数分解.\n,\n Use DPI factoring when drawing and choosing dimensions.\n
\n 使用 表面提取 算法提取模式.取消选中可使用经典布尔提取\n,\n Use Suface Extract algorithm for Extract mode. Uncheck to use classic Boolean Extraction\n
\n 使用 表面提取 算法提取模式.取消选中可使用经典布尔提取\nALT+X 在提取过程中切换,\n Use Suface Extract algorithm for Extract mode. Uncheck to use classic Boolean Extraction\nALT+X to toggle during Extract
\n 在光线跟踪时使用简单的绑定数据集 (更快),\n Use simple bound cubes when ray tracing (Faster)
\n 窗口键位映射,\n Window Keymap
\n 如果有可用的活动边将被用作方向,\n if available active edge will be used as orientation
\n* 总数为(A total of) {} {} 发现空的材质槽(with empty material slots was found) \n,\n* A total of {} {} with empty material slots was found \n
\n* 移除未指定的材质  %s  RemovedUnassigned Materials \n,\n* Removed %s Unassigned Materials \n
\n***错误***没有可用的导入网格\n使用了最后一个geodesic!,\n***ERROR*** No imported mesh available \nLast geodesic used!
\n***INFO***首先启用集线器,\n***INFO*** Enable Hubs first
\n===Cycles着色器类型  Cycles Shader Type: {} === \n,\n=== Cycles Shader Type: {} === \n
\n从图像创建贴花 %s,\nCreating decal from image %s
\nExport to After Effects Completed 导出到After Effects完成,\nExport to After Effects Completed
\n 得到 Got:\n,\nGot:\n
\n信息:准备Unity导出,\nINFO: Preparing Unity Export
\n信息: 恢复导出到Unity前状态,\nINFO: Restoring Pre-Unity-Export Status
\n如果未指定，将使用Zscript（.zsc）文件的系统默认值,\nIf not specified the system default for Zscript (.zsc) files will be used
"\n 如果你在用物理,试着先把它存到缓存里 ",\nIf you are using Physics try to 
"\n导入对象,从 {}",\nImported objects from {}
"\n信息: 开始将贴花烘焙到 %s, 在 %s 与 %s 采样和 %dx 反混叠使用 %s --------------------","\nInfo: Starting to bake decals to %s, at %s with %s samples and %dx Anti Aliasing using the %s --------------------"
\n请将此错误报告给 mesh@machin3.io,\nPLEASE REPORT THIS ERROR to mesh@machin3.io
\n[%s]\n条目: %s\n\n,\n[%s]\nEntries: %s\n\n
\n[旋转摄像机]\n警告: {}\n,\n[Camera Turnaround]\nWarning: {}\n
\n[动态的天空 Dynamic Sky]\n  错误: {}\n,\n[Dynamic Sky]\nError: {}\n
\n[材质实用程序特殊功能]\n链接到基名称\n错误: \n[Materials Utilities Specials]\nLink to base names\nError:,\n[Materials Utilities Specials]\nLink to base names\nError:
\n[雕刻/绘制笔刷菜单 Sculpt/Paint Brush Menus]\n{}: {}\n 错误: {}\n,\n[Sculpt/Paint Brush Menus]\n{}: {}\nError: {}\n
\n[{}]\n{}\n\n 错误:\n{},\n[{}]\n{}\n\nError:\n{}
\n\n# 以开始的类 (Classes starting with) 'NODE_PT_category_' and 'NODE_MT_category_'\n,\n\n# Classes starting with 'NODE_PT_category_' and 'NODE_MT_category_'\n
"\n\n== %s 丢失图像(missing image)  %s, %s 丢失节点(missing node) %s and %s image %s unlinked ==","\n\n== %s missing image %s, %s missing node %s and %s image %s unlinked =="
\n\n开始批量渲染 {}\n,\n\nBeginning batch rendering in {}\n
\n\n\n[%s]\n 项目 items: %d\n,\n\n\n[%s]\nitems: %d\n
\n得到一个面 getting a face,\ngetting a face
\nis不是网格,\nis not a Mesh
\n无法获得,\nis not available
\nis not possible,\nis not possible
\n尚不可用,\nnot (yet) available
\n不可能,\nnot possible
"\n警告:未能映射纹理到3DS贴图通道,假设漫反射 warning: failed to map texture to 3DS map channel, assuming diffuse","\nwarning: failed to map texture to 3DS map channel, assuming diffuse"
\n警告:忽略UV旋转 warning: ignoring UV rotation,\nwarning: ignoring UV rotation
"\n{name + "" ""}{identifier}退出方法失败:\n","\n{name + "" ""}{identifier}Exit Method Failed:\n"
"\n{name + "" ""}{identifier}退出返回值失败:\n","\n{name + "" ""}{identifier}Exit Return Value Failed:\n"
"\n{name + "" ""}{identifier}方法失败:\n","\n{name + "" ""}{identifier}Method Failed:\n"
\n{name} {identifier}退出方法失败:\n,\n{name} {identifier}Exit Method Failed:\n
\n{name} {identifier}退出返回值失败:\n,\n{name} {identifier}Exit Return Value Failed:\n
\n{name} {identifier}方法失败:\n,\n{name} {identifier}Method Failed:\n
\n» 添加自定义EXR,\n» Adding Custom EXRs
\n» 添加Matcaps,\n» Adding Matcaps
\n» 添加工作区,\n» Adding Workspaces
\n» 更改首选项: 界面,\n» Changing Preferences: Interface
\n» 更改首选项: 快捷键,\n» Changing Preferences: Keymap
\n» 更改首选项: 导航,\n» Changing Preferences: Navigation
\n» 更改首选项: 视图,\n» Changing Preferences: Viewport
\n» 清理工作区,\n» Clearing Workspaces
\n» 安装并启用M3主题 (一个平淡的深蓝莓和rTheme的结合),\n» Installing and Enabling M3 theme (a merger of Flatty Dark Blueberry + rTheme)
\n»  修改大纲视图,\n» Modifying Outliner
\n» 修改叠加,\n» Modifying Overlays
\n» 修改启动场景,\n» Modifying Startup Scene
\n» 设置自定义书签,\n» Setting Custom Bookmarks
\n» 设置阴影和渲梁,\n» Setting up Shading and Rendering
\r\n,\r\n
"\t此外, 输出 {total_segment_points + total_polygon_points} SVG圆: {total_segment_points} 分段点, {total_polygon_points} 面点","\tIn addition, outputted {total_segment_points + total_polygon_points} SVG circles: {total_segment_points} segments points, {total_polygon_points} faces points"
\t插入大小 (最大尺寸 {}),\tInsert size (max dimension of {})
\t 插入目标: {},\tInsert target: {}
"\t输出 {total_geoms_to_draw} 几何图形到SVG: {total_polygons} 多边形作为路径, {total_segments} 线段作为直线, {total_points} 点为圆","\tOutputted {total_geoms_to_draw} geometries to SVG: {total_polygons} polygons as paths, {total_segments} segments as lines, {total_points} points as circles"
\t渲染路径: {},\tRender path: {}
\u2022 阵列,\u2022 Array
\u2022 倒角,\u2022 Bevel
\u2022 圆,\u2022 Circle
\u2022 自定义,\u2022 Custom
\u2022 尺寸,\u2022 Dimensions
"\u2022 在工具上拖动光标并松开即可激活该工具 (链接一个饼菜单).
","\u2022 Dragging the cursor over a tool and releasing activates it (like a pie menu).
"
\u2022 插入,\u2022 Inset
\u2022 切割,\u2022 Knife
\u2022 线框,\u2022 Line Box
\u2022 多边形,\u2022 Ngon
\u2022 N边面 (已关闭),\u2022 Ngon (closed)
"\u2022 按工具绑定键立即切换到它.
","\u2022 Pressing the tools binding key switches to it immediately.
"
\u2022 旋转,\u2022 Rotation
\u2022 切片,\u2022 Slice
\u2022 实体化,\u2022 Solidify
\u2022 锥形,\u2022 Taper
] - 增大圆大小,] - Increase Circle Size
] = 旋转90度,] = Rotate 90 Degrees
] 查看快捷键,] for help
] 地形,] terrain
].约束[,].constraints[
^ 通过子列 ^,^ SUBROW ^
_深度,_DEPTH
_漫反射,_DIFFUSE
_法线,_NORMAL
_不透明度,_OPACITY
_问题_,_Problem_
_根,_ROOT
_重拓扑完成,_Remesh
_切线,_TANGENT
__黑色__,__BLACK__
_置换_,__Displacement__
__海洋泡沫__,__Ocean Foam__
_涟漪_,__Ripples__
__海岸泡沫__,__Shore Foam__
__波浪位置__,__Wave Location__
__波浪__,__Waves__
____ 对齐UV岛,____ Align Islands
____ 对齐顶点,____ Align Verts
____开始粒子转换______,____BEGINING PARTICLE CONVERSION______
_____ 基础 _____,_____ Base _____
_____ 工具 _____,_____ Tool _____
______全局______,______GLOBAL______
______工具______,______TOOL______
________溶并________,________DISSOLVE________
________全局________,________GLOBAL________
________连接________,________JOIN________
________切刀________,________KNIFE________
________合并________,________MERGE________
________选择________,________SELECT________
________旋转________,________SPIN________
________切换________,________SWITCH________
____________\n边拆分UV锐边 {},____________\nedge split UV sharp edges {}
__对齐_工具__,__align_tool__
在新源中找不到初始化文件 __init__ ,__init__ file not found in new source
__init初始化__.py,__init__.py
__主要__,__main__
__pycache__,__pycache__
_biasLightViewProjectionMatrix,_biasLightViewProjectionMatrix
_biasLightWorldViewProjectionMatrix,_biasLightWorldViewProjectionMatrix
_cameraPosition,_cameraPosition
_cameraPositionSnap,_cameraPositionSnap
_cascadeData,_cascadeData
_漫反射,_diff
_高,_high
_inverseViewProjectionMatrix,_inverseViewProjectionMatrix
_inverseWorldMatrix,_inverseWorldMatrix
_lambda_,_lambda_
_lightArea0,_lightArea0
_lightArea1,_lightArea1
_lightArea2,_lightArea2
_lightArea3,_lightArea3
_lightViewProjectionMatrix,_lightViewProjectionMatrix
_lightWorldViewProjectionMatrix,_lightWorldViewProjectionMatrix
_lightWorldViewProjectionMatrixCylinder,_lightWorldViewProjectionMatrixCylinder
_lightWorldViewProjectionMatrixSphere,_lightWorldViewProjectionMatrixSphere
_底,_low
_ltcMag,_ltcMag
_ltcMat,_ltcMat
_中,_medium
_normalMatrix,_normalMatrix
_open_osfhandle 失败,_open_osfhandle failed
_分词数据,_particleData
_pointColor,_pointColor
_pointPosition,_pointPosition
_prevViewProjectionMatrix,_prevViewProjectionMatrix
_prevWorldViewProjectionMatrix,_prevWorldViewProjectionMatrix
_projectionMatrix,_projectionMatrix
_代理,_proxy
_sunColor,_sunColor
_sunDirection,_sunDirection
_sunShadowsBias,_sunShadowsBias
_tilesheetOffset,_tilesheetOffset
_vertex_group,_vertex_group
_viewProjectionMatrix,_viewProjectionMatrix
_worldMatrix,_worldMatrix
_worldViewMatrix,_worldViewMatrix
_worldViewProjectionMatrix,_worldViewProjectionMatrix
_worldViewProjectionMatrixCylinder,_worldViewProjectionMatrixCylinder
_worldViewProjectionMatrixSphere,_worldViewProjectionMatrixSphere
“,`
`  Hops 助后,`  Hops Helper
`  Mira曲线拉伸助手,`  Mira Curve Stretch Helper
`%s' 不在参数中存储当前的文本,`%s' doesn't store a current_text in params
`Collection.bones` 在骨架编辑模式下不可用,`Collection.bones` is not available in armature edit mode
"元调用节点的`Origins' 输入要求数据嵌套级别3或4,而不是 {}(`Origins' input of Metaball node requires data nesting level 3 or 4, not {})","`Origins' input of Metaball node requires data nesting level 3 or 4, not {}"
转换为一个浮点值的(浮点字符串),a (float string) converted to a float value
转换为一个整数值的(整数字符串),a (integer string) converted to an integer value
转换为一个字符串的(非字符串值),a (non string value) converted to a string
循环动画(如行走循环),a cyclic animation (such as a walk cycle)
一个浮点数(a float),a float
参数 %u 的格式指定符在“%s”中不存在,a format specification for argument %u doesn't exist in '%s'
"参数""%u""(如同""%s"")的格式指定在""%s""中不存在","a format specification for argument %u, as in '%s', doesn't exist in '%s'"
参数“%s”的格式指定符未在“%s”中找到,a format specification for argument '%s' doesn't exist in '%s'
"参数""%s""(如同""%s"")的格式指定在""%s""中不存在","a format specification for argument '%s', as in '%s', doesn't exist in '%s'"
参数 {%u} 中未在“%s”中找到,a format specification for argument {%u} doesn't exist in '%s'
"参数{%u}(如同""%s"")的格式指定在""%s""中不存在","a format specification for argument {%u}, as in '%s', doesn't exist in '%s'"
参数%u 和%u 的格式定义在“%s”中不存在，仅可忽略一个参数,"a format specification for arguments %u and %u doesn't exist in '%s', only one argument may be ignored"
按住 %1，然后按 %2,"Hold %1, then push %2"
a modulo b,a modulo b
用于桥接的多输入,a multi-input for bridging
使用一个新的脑壳:,a new head using:
无效按钮,invalid button
调色板必须有1到256个条目,a palette must have between 1 and 256 entries
下面的图片文件名,a picture file name below
一个代理编码的预设名称,a preset name for proxy encoding
将创建正确的副本.,a proper copy will be created.
A 边值,a side Value
一个纹理或纹理集,"a texture, or texture set"
一个有效的颜色渐变节点.,a valid ColorRamp node.
稍等.,a while.
a 分量,a*
a-姿势,a-pose
"a: 绝对(全局)坐标 e.g. 1,3,2","a: Absolute (Global) Coordinates e.g. 1,3,2"
aaaaaah,aaaaaah
土著居民,aboriginal
关于我,about me
"即将链接到, 组 {} / 网格 {}?","about to link, group {} / mesh {}?"
关于我,about_me
abs(a),abs(a)
绝对,absolute
许可证文件的绝对路径,absolute path to license file
材质库文件夹的绝对路径,absolute path to material library folder
pykeentools zip文件的绝对路径,absolute path to pykeentools zip file
绝对值 of a,absolute value of a
绝对: (用户)\renderset\blend_name\render_context_name\date,absolute: (USER)\renderset\blend_name\render_context_name\date
abstract_text_buffer.py,abstract_text_buffer.py
ac3,ac3
加速度,acceleration
接受,accept
访问代理:,access proxify in:
访问令牌,access_token
配件accessories,accessories
根据可见修改器.,according to visible modifiers.
累积嵌套,accumulate nested
精确褶皱,accurate folds
"ACES助手将安装捆绑的颜色空间预设:
","aces helper will install bundled colorspace presets:
"
aces helper-mogutang,aces helper-mogutang
反双曲线余弦(acosh),acosh
活动,action
活动_名称,action_name
动作(actions),actions
要导出的操作!,actions to export!
启用,activate
创建时激活LOD系统,activate the LOD system on creation
创建Biome或层时激活LOD系统,activate the LOD system when creating the biome or layer
激活权重匹配层,activate weight paiting layers
活动项,active
未找到活动标注笔划,active Annotation strokes not found
未找到活动GPencil笔划,active GPencil strokes not founds
活动框架(active frame),active frame
活动网格,active mesh
活动网格名称,active msh name
活动对象倒角值,active object bevel value
活动Z:,active z:
活动项: ({}),active: ({})
活动: {},active: {}
活动集合,activeCollection
活动_集合_值,active_collection_index
活动_集合_值.,active_collection_index.
活动_值,active_index
活动_键位_名称: ,active_key_name: 
活动_对象,active_object
活动层,activelayer
活动绘制面板为     : {msh.name},actively drawing panel for     : {msh.name}
活动贴图,activemap
实际_距离,actual_distance
执行器,actuator
自适应,adaptive
自适应递归超采样方法.类型 3 ,adaptive and recursive super-sampling method. Type 3 
自适应批量大小,adaptive_batch_size
自适应最大采样数,adaptive_max_samples
自适应最小样本数,adaptive_min_samples
自适应噪声阈值,adaptive_noise_threshold
adc_safe=0.01/最亮的环境_对象以获得良好的效果,adc_bailout = 0.01 / brightest_ambient_object for good results
添加,add
添加 ,add 
添加 %s 到场景,add %s to scene
将所选对象添加到集合,add Selected-Objects to Collection
添加一个绘图回调,add a draw callback
向对象添加材质,add a material to the object
为发射器对象添加一个程序化置换.,add a procedural displacement to the emitter object.
添加alt,add alt
增加同步骨架,add an armature to be synchronization
添加类别,add category
添加布料模拟以进行动画处理，增加浮力或撕裂感.,"add cloth simulation for animation, more hanginess or tearing."
从活动骨架中添加约束条件到所选骨架，使之同步化.,add constraints to  selected armature	 from active armature to be synchronization
为所选骨架添加约束条件,add constraints to the selected armature?
添加ctrl,add ctrl
添加尺寸,add dimension
添加绘制乚 网格_工具+++,add draw乚 mesh_tool+++
添加动态MC世界。,add dynamic MC world.
"向顶点法线方向增加力,产生充气的效果",add force to vertex normals
添加手柄网格工具+++,add handle MeshTool+++
添加最新的倒角,add latest bevel
首先添加对象,add object first
添加或删除选项卡,add or delete tabs
添加或删除,add or remove
从列表中添加或删除项目,add or remove items from list
添加散布,add scatter
添加shift,add shift
添加模拟,add simulation
添加标签,add tab
将此对象添加到选区中(ALT用于隔离和显示视图),add this object to selection (alt to isolate and show view)
添加到group pro,add to group pro
添加到局部视图,add to local view
添加到快速收藏夹,add toQuick Favoritec
添加顶点组,add vertex group
添加/移除 对该粒子系统的裁剪影响,add/remove clipping influence on this particle system
添加/移除 对这个粒子系统的剔除影响,add/remove culling influence on this particle system
添加/移除 对置换修改器的影响,add/remove influence to displace modifier
添加_空物体,add_empty
添加拳头-ctrl,add_fist_ctrl
add_legend_bar,add_legend_bar
添加_材质,add_material
添加_镜像,add_mirror
添加肌肉,add_muscles
添加选择器,add_picker
添加 added,added
为您添加.,added for you.
添加了新的线条集组 ,added new lineset group 
作为单独的添加到separate中,added to Connecter as separate
添加 #line 指令,adding #line directives
添加库,adding library
添加材质,adding material
使用socketname而不是if索引添加节点路由,adding node reroute using socketname instead if index
相加,addition
额外信息,additional Information
附加: %s,additional: %s
添加和混合毛发带噪波的对比,additive vs mix strand noise
插件,addon
插件代码，查看该代码是否更改了生成控制器ui的方式!,addon code to see if that code has changed how it generates the rig ui!
"插件 {self.name}: 无法注册 {cls}
{exc}","addon {self.name}: could not register {cls}
{exc}"
插件 {self.name}: 无法注销 {cls},addon {self.name}: could not unregister {cls}
插件:,addon:
插件,addons
从文件中添加HDRI,adds HDRI from file
向对象名称中添加一个递增的数字，该数字的位数在序号中指定,adds a growing number to the object names with the amount of digits specified in Number Lenght
"动态添加和删除细节, 而常规雕刻只影响网格的形状.","adds and removes details on-the-fly, whereas regular sculpting only affects the shape of a mesh."
添加车削,adds lathe
添加文本,adds text
调整循环边的曲率,adjust edge loops to curvature
调整所选daz控制器的顶部和局部轴,adjust tip and local axis of selected daz rigs
调整,adjustment
成人内容,adult content
高级,advanced
高级_功率,advanced_power
高级_设置,advanced_settings
航道,aeroway
影响其形状.,affect its shape.
非洲,african
亚裔,afroasian
非洲地中海,afromediterranean
在画出最初的形状之后.,after blocking out the initial shape.
确认后,after confirming these
在章节之后：,after end of section:
在释放馅饼菜单的热键之后,after releasing the pie menu's hotkey
"选择一个文件后,",after selecting a file
